probeID	BETA	SE	P_VAL	FDR	DeltaMeth	N
cg23530707	1.83469372140635e-07	3.40759511721038e-08	7.27956278259882e-08	0.0350113483854203	0.115485577098987	337
cg13080606	2.11320037943445e-07	4.39097625741155e-08	1.4898073501832e-06	0.272661973887404	-0.150272006957565	337
cg14538249	-4.19145939545662e-07	8.75761583358679e-08	1.70075708209561e-06	0.272661973887404	0.0991731946505698	339
cg12657014	-2.56061161812258e-07	5.58643844563462e-08	4.56992387369788e-06	0.549480791687623	0.0949486014976823	340
cg07379740	2.56497831939889e-07	5.72393038356232e-08	7.42423594615761e-06	0.570559456150473	0.137966955248242	337
cg02899219	2.8489535779649e-07	6.37849051756937e-08	7.95092031515433e-06	0.570559456150473	-0.251554113369005	338
cg09135347	1.7677618282206e-07	4.01767360544456e-08	1.08268955571322e-05	0.570559456150473	0.151295020464981	339
cg23970028	2.87593426345431e-07	6.54085334978492e-08	1.09818376992695e-05	0.570559456150473	0.143531504887884	340
cg20660269	-3.43166828427251e-07	7.83255827825737e-08	1.17980545656788e-05	0.570559456150473	0.40733324266898	338
cg19815325	1.93213521192708e-07	4.45163160156426e-08	1.42297709094459e-05	0.570559456150473	0.146037752618885	337
cg02873528	-3.28677496183789e-07	8.04290018683775e-08	4.37826752702434e-05	0.654549490457371	0.115747714618759	340
cg12498094	1.98377773194312e-07	5.40519084855557e-08	0.000242422893687441	0.830052339720676	0.167519979735152	335
cg24575065	7.51809428175816e-08	2.11396631399459e-08	0.000375981997727381	0.838269350755832	-0.0356357723814727	339
cg07948421	1.46815032310661e-07	4.34118698369851e-08	0.000719837507596904	0.838269350755832	0.0440989170137195	340
cg02368508	-2.98343471848416e-07	8.9857673018483e-08	0.000899600598739071	0.838269350755832	-0.291415126265882	340
cg13909342	-1.2419386643189e-07	3.77861723127376e-08	0.00101349199350759	0.838269350755832	0.0622967124406028	340
cg20004424	2.04853192641158e-07	6.31803309255492e-08	0.0011854539405204	0.838269350755832	-0.0558551026574063	340
cg02574734	1.56800017485677e-07	4.96064472964453e-08	0.00157293390124631	0.847429464141854	0.146164463968396	339
cg00745323	-1.36504704207868e-07	4.33788486714524e-08	0.00165065964762423	0.847429464141854	0.0553808606888914	340
cg15683950	-4.83177790368401e-07	1.55003245904708e-07	0.00182570982431969	0.854165800433708	-0.133549505143935	340
cg16851771	-3.16200872530627e-07	1.04293495122861e-07	0.00243070459819105	0.874038655955647	0.0743202609059083	339
cg20931134	1.45080333624764e-07	4.79941325704357e-08	0.00250384435571779	0.874038655955647	-0.191459194231479	334
cg03588376	8.62987276265725e-08	2.90705830022884e-08	0.00299166610376736	0.883791300947331	0.0328568609939931	340
cg24982697	1.32760140524969e-07	4.47612261214039e-08	0.00301736787608339	0.883791300947331	0.168794308513362	337
cg27381822	1.14029827074413e-07	3.86461182204033e-08	0.00317141666928676	0.883791300947331	0.0978601748102774	339
cg23248452	2.62188570262646e-07	8.89399589329575e-08	0.00319911855547208	0.883791300947331	-0.212562103957324	340
cg14975347	1.15587109035379e-07	3.93804812247611e-08	0.00333400409236179	0.885217453273039	0.0788432207390426	337
cg21155834	-3.56619387158717e-07	1.23835505784838e-07	0.00397948939879995	0.893512859308136	0.132049976722559	340
cg23110422	2.16074951529366e-07	7.51527375759606e-08	0.00403843117010657	0.897965614880923	0.164098106434498	337
cg01163931	1.34250800368321e-07	4.71395962251188e-08	0.00440030475671523	0.907733462177175	0.134031213313542	335
cg26345037	-9.63953498197633e-08	3.38519588848381e-08	0.004405633745297	0.907733462177175	0.0623949189706018	340
cg13698613	2.03798781119921e-07	7.23483376444698e-08	0.00484880580951749	0.912302511463656	0.19065888102897	338
cg16177830	-2.16758793503839e-07	7.78531689832787e-08	0.00536599342208549	0.915885258940666	-0.176474403714443	340
cg04915494	4.45938244974266e-07	1.60178288998425e-07	0.00536910825712541	0.915885258940666	-0.209879354136838	340
cg17023923	1.26387327713107e-07	4.54034749776303e-08	0.00537512040945918	0.915885258940666	0.197089097216717	338
cg19675142	-4.05467008504174e-07	1.45965824768659e-07	0.00547246694737012	0.915885258940666	-0.142269493415849	338
cg11256628	2.64078215793336e-07	9.54004302795183e-08	0.00563836357106157	0.915885258940666	0.154893467931845	340
cg23763137	-1.69791174673655e-07	6.15832379638475e-08	0.0058316429241696	0.915885258940666	0.212170816527341	338
cg24405951	1.80663802113261e-07	6.55902002527976e-08	0.00587939536903764	0.915885258940666	-0.182063069479142	339
